Demographic,Trust_Category,Average_Trust
ACES_0.25,TP_Company_cust,4.638297872340425
ACES_0.5,TP_Company_cust,4.4926108374384235
ACES_0.75,TP_Company_cust,4.878787878787879
ACES_1.0,TP_Company_cust,4.828877005347594
ACES_1.25,TP_Company_cust,4.814814814814815
ACES_1.5,TP_Company_cust,4.75968992248062
ACES_1.75,TP_Company_cust,4.795918367346939
ACES_2.0,TP_Company_cust,4.74
ACES_2.25,TP_Company_cust,4.649122807017544
ACES_2.5,TP_Company_cust,4.6625
ACES_2.75,TP_Company_cust,4.633333333333334
ACES_3.0,TP_Company_cust,4.625
ACES_3.25,TP_Company_cust,4.642857142857143
ACES_3.5,TP_Company_cust,4.6923076923076925
ACES_3.75,TP_Company_cust,4.84
ACES_4.0,TP_Company_cust,4.7272727272727275
ACES_4.25,TP_Company_cust,4.538461538461538
ACES_4.5,TP_Company_cust,4.425
ACES_4.75,TP_Company_cust,4.8
ACES_5.0,TP_Company_cust,4.615384615384615
ACES_5.25+,TP_Company_cust,4.411764705882353
ACES_5.5,TP_Company_cust,4.833333333333333
Dem_Gender_Woman,TP_Company_notcust,5.48172757475083
Dem_Gender_Man,TP_Company_notcust,5.298701298701299
Dem_Gender_Other,TP_Company_notcust,5.580357142857143
ACES_Compound,TP_Company_notcust,5.572192513368984
ACES_No,TP_Company_notcust,5.4753086419753085
ACES_Yes,TP_Company_notcust,5.438925081433225
ACES_0.0,TP_Company_notcust,5.520295202952029
ACES_0.25,TP_Company_notcust,5.382978723404255
ACES_0.5,TP_Company_notcust,5.187192118226601
ACES_0.75,TP_Company_notcust,5.545454545454546
ACES_1.0,TP_Company_notcust,5.572192513368984
ACES_1.25,TP_Company_notcust,5.537037037037037
ACES_1.5,TP_Company_notcust,5.40625
ACES_1.75,TP_Company_notcust,5.816326530612245
ACES_2.0,TP_Company_notcust,5.53
ACES_2.25,TP_Company_notcust,5.508771929824562
ACES_2.5,TP_Company_notcust,5.35
ACES_2.75,TP_Company_notcust,5.266666666666667
ACES_3.0,TP_Company_notcust,5.53125
ACES_3.25,TP_Company_notcust,5.785714285714286
ACES_3.5,TP_Company_notcust,5.288461538461538
ACES_3.75,TP_Company_notcust,5.8
ACES_4.0,TP_Company_notcust,5.333333333333333
ACES_4.25,TP_Company_notcust,5.0
ACES_4.5,TP_Company_notcust,5.15
ACES_4.75,TP_Company_notcust,6.1
ACES_5.0,TP_Company_notcust,5.153846153846154
ACES_5.25+,TP_Company_notcust,5.0
ACES_5.5,TP_Company_notcust,5.611111111111111
Dem_Gender_Woman,TP_Stranger,6.029900332225914
Dem_Gender_Man,TP_Stranger,5.67965367965368
Dem_Gender_Other,TP_Stranger,5.928571428571429
ACES_Compound,TP_Stranger,6.074866310160428
ACES_No,TP_Stranger,5.96594427244582
ACES_Yes,TP_Stranger,5.9015459723352315
ACES_0.0,TP_Stranger,6.025925925925926
ACES_0.25,TP_Stranger,5.723404255319149
ACES_0.5,TP_Stranger,5.586206896551724
ACES_0.75,TP_Stranger,6.181818181818182
ACES_1.0,TP_Stranger,6.074866310160428
ACES_1.25,TP_Stranger,5.888888888888889
ACES_1.5,TP_Stranger,5.906976744186046
ACES_1.75,TP_Stranger,5.938775510204081
ACES_2.0,TP_Stranger,5.92
ACES_2.25,TP_Stranger,6.280701754385965
ACES_2.5,TP_Stranger,5.9625
ACES_2.75,TP_Stranger,5.566666666666666
ACES_3.0,TP_Stranger,6.0
ACES_3.25,TP_Stranger,6.035714285714286
ACES_3.5,TP_Stranger,5.923076923076923
ACES_3.75,TP_Stranger,6.6
ACES_4.0,TP_Stranger,5.696969696969697
ACES_4.25,TP_Stranger,5.769230769230769
ACES_4.5,TP_Stranger,5.475
ACES_4.75,TP_Stranger,6.3
ACES_5.0,TP_Stranger,5.923076923076923
ACES_5.25+,TP_Stranger,5.411764705882353
ACES_5.5,TP_Stranger,5.833333333333333
