T,power,danger,structure,coverage
51800,0.01384,-0.10265,-0.00250,0.287
51900,0.01321,-0.10084,-0.00260,0.287
52000,0.01198,-0.10078,-0.00266,0.286
52100,0.01211,-0.10124,-0.00276,0.286
52200,0.01206,-0.10001,-0.00225,0.286
52300,0.01253,-0.10109,-0.00281,0.287
52400,0.01210,-0.10045,-0.00262,0.286
52500,0.01085,-0.10087,-0.00240,0.286
52600,0.01064,-0.10051,-0.00252,0.285
52700,0.01154,-0.10066,-0.00261,0.284
52800,0.01218,-0.09988,-0.00239,0.284
52900,0.01266,-0.09944,-0.00300,0.284
53000,0.01280,-0.09934,-0.00335,0.285
53100,0.01267,-0.09827,-0.00367,0.285
53200,0.01115,-0.09687,-0.00351,0.286
53300,0.01018,-0.09637,-0.00338,0.285
53400,0.00992,-0.09627,-0.00333,0.285
53500,0.01069,-0.09526,-0.00315,0.286
53600,0.01053,-0.09513,-0.00302,0.286
53700,0.01092,-0.09426,-0.00262,0.287
53800,0.01063,-0.09358,-0.00225,0.287
53900,0.01098,-0.09424,-0.00254,0.288
54000,0.01036,-0.09411,-0.00219,0.288
54100,0.00989,-0.09375,-0.00240,0.287
54200,0.01068,-0.09299,-0.00232,0.286
54300,0.01098,-0.09383,-0.00235,0.286
54400,0.01005,-0.09327,-0.00210,0.286
54500,0.01118,-0.09307,-0.00238,0.287
54600,0.01123,-0.09283,-0.00230,0.288
54700,0.01091,-0.09301,-0.00209,0.287
54800,0.01071,-0.09334,-0.00193,0.287
54900,0.01067,-0.09255,-0.00184,0.287
55000,0.01120,-0.09223,-0.00194,0.287
55100,0.01070,-0.09379,-0.00252,0.287
55200,0.01150,-0.09398,-0.00223,0.287
55300,0.01279,-0.09506,-0.00189,0.286
55400,0.01278,-0.09550,-0.00187,0.286
55500,0.01452,-0.09649,-0.00190,0.287
55600,0.01594,-0.09696,-0.00163,0.286
55700,0.01676,-0.09840,-0.00145,0.286
55800,0.01763,-0.10076,-0.00103,0.287
55900,0.01760,-0.10146,-0.00088,0.287
56000,0.01689,-0.10222,-0.00073,0.286
56100,0.01679,-0.10159,-0.00079,0.285
56200,0.01664,-0.10222,-0.00066,0.285
56300,0.01588,-0.10186,-0.00081,0.285
56400,0.01474,-0.10192,-0.00058,0.285
56500,0.01302,-0.10125,-0.00052,0.284
56600,0.01382,-0.10092,-0.00009,0.284
56700,0.01432,-0.10125,-0.00002,0.284
56800,0.01481,-0.10162,0.00012,0.284
56900,0.01465,-0.10149,-0.00007,0.284
57000,0.01430,-0.10163,0.00001,0.284
57100,0.01308,-0.10088,-0.00033,0.284
57200,0.01314,-0.10101,-0.00082,0.284
57300,0.01230,-0.10089,-0.00092,0.285
57400,0.01151,-0.10268,-0.00075,0.285
57500,0.01054,-0.10262,-0.00073,0.285
57600,0.01019,-0.10362,-0.00112,0.285
57700,0.01058,-0.10438,-0.00133,0.285
57800,0.01145,-0.10420,-0.00172,0.285
57900,0.01043,-0.10320,-0.00206,0.284
58000,0.00867,-0.10238,-0.00199,0.283
58100,0.00785,-0.10141,-0.00184,0.283
58200,0.00757,-0.10133,-0.00179,0.283
58300,0.00776,-0.10127,-0.00156,0.284
58400,0.00794,-0.10245,-0.00160,0.284
58500,0.00735,-0.10273,-0.00174,0.284
58600,0.00675,-0.10386,-0.00124,0.285
58700,0.00722,-0.10592,-0.00154,0.285
58800,0.00767,-0.10626,-0.00154,0.285
58900,0.00590,-0.10575,-0.00242,0.284
59000,0.00566,-0.10616,-0.00269,0.285
59100,0.00645,-0.10617,-0.00294,0.286
59200,0.00589,-0.10631,-0.00289,0.286
59300,0.00581,-0.10670,-0.00245,0.286
59400,0.00673,-0.10666,-0.00250,0.286
59500,0.00509,-0.10705,-0.00202,0.287
59600,0.00488,-0.10791,-0.00196,0.288
59700,0.00410,-0.10895,-0.00197,0.287
59800,0.00391,-0.10910,-0.00199,0.288
59900,0.00292,-0.10908,-0.00203,0.288
60000,0.00266,-0.10942,-0.00195,0.289
60100,0.00292,-0.11006,-0.00164,0.289
60200,0.00446,-0.11130,-0.00161,0.290
60300,0.00566,-0.11107,-0.00169,0.290
60400,0.00491,-0.11136,-0.00187,0.290
60500,0.00367,-0.11130,-0.00202,0.290
60600,0.00502,-0.11193,-0.00172,0.290
60700,0.00599,-0.11310,-0.00182,0.290
60800,0.00691,-0.11226,-0.00211,0.290
60900,0.00835,-0.11301,-0.00186,0.291
61000,0.00830,-0.11246,-0.00177,0.291
61100,0.00869,-0.11288,-0.00150,0.291
61200,0.00926,-0.11232,-0.00178,0.292
61300,0.01015,-0.11208,-0.00195,0.291
61400,0.01011,-0.11182,-0.00196,0.291
61500,0.01120,-0.11193,-0.00203,0.291
61600,0.01241,-0.11234,-0.00186,0.291
61700,0.01385,-0.11320,-0.00165,0.290
61800,0.01617,-0.11222,-0.00131,0.290
61900,0.01594,-0.11319,-0.00144,0.289
62000,0.01628,-0.11382,-0.00117,0.289
62100,0.01569,-0.11322,-0.00146,0.289
62200,0.01585,-0.11323,-0.00168,0.288
62300,0.01579,-0.11307,-0.00129,0.288
62400,0.01660,-0.11201,-0.00171,0.287
62500,0.01679,-0.11151,-0.00154,0.287
62600,0.01695,-0.11098,-0.00136,0.288
